Einstellungen:
Bildgröße: 1024x768
Zoom-Mittelpunkt: Cr=-0,348373087550591, Ci=-0,606503845182302
Zoomfaktor: 0,80
Runden: 20
Iterationen: 1000
Threads: 1
Layers: 9

Round,Time
1,1,4037
2,2,7774
3,4,0685
4,5,3937
5,6,7982
6,8,3154
7,9,9028
8,11,6042
9,13,5090
10,15,5481
11,17,6668
12,19,8146
13,22,0022
14,24,2461
15,26,4755
16,28,6856
17,30,8588
18,32,9980
19,35,1174
20,37,2107
