Einstellungen:
Bildgröße: 1024x768
Zoom-Mittelpunkt: Cr=-0,348373087550591, Ci=-0,606503845182302
Zoomfaktor: 0,80
Runden: 20
Iterationen: 1000
Threads: 1
Layers: 2

Round,Time
1,1,2311
2,2,4964
3,3,6710
4,4,8271
5,6,0462
6,7,2721
7,8,4847
8,9,6984
9,10,9794
10,12,2243
11,13,5172
12,14,8099
13,16,1213
14,17,4347
15,18,7368
16,20,0666
17,21,3697
18,22,6366
19,23,9077
20,25,1645
